case,event,startTime,completeTime,Variant,elementId,resourceId,Variant index,resourceCost,processId,Start Timestamp,fixedCost,Resource
0,START,2025/12/09 10:00:00,2025/12/09 10:00:00,Variant 1,sid-7E063660-AF89-4E86-906B-E703580F1C75,,1,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,2025/12/09 10:00:00,,
0,END,2025/12/09 10:00:00,2025/12/09 10:00:00,Variant 1,sid-B3145B77-A916-4A27-82D5-3A1E113A7FC9,,1,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,2025/12/09 10:00:00,,
1,START,2025/12/09 10:00:01,2025/12/09 10:00:01,Variant 7,sid-7E063660-AF89-4E86-906B-E703580F1C75,,7,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,2025/12/09 10:00:01,,
1,CHECK DATA BALANCING,2025/12/09 10:00:02,2025/12/09 10:00:02,Variant 7,sid-B48DF955-D774-4256-AEB6-099744469155,QBP_DEFAULT_RESOURCE,7,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,2025/12/09 10:00:01,1,Session-000001
1,CHECK COVERAGE,2025/12/09 10:00:03,2025/12/09 10:00:03,Variant 7,sid-84855BE7-4A74-4AA7-A950-22E81A38081C,QBP_DEFAULT_RESOURCE,7,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,2025/12/09 10:00:02,1,Session-000002
1,SET NUMBER OF ITERATIONS,2025/12/09 10:00:04,2025/12/09 10:00:04,Variant 7,sid-7D343CDC-849C-4479-9343-9EF1E02C5042,QBP_DEFAULT_RESOURCE,7,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,2025/12/09 10:00:03,1,Session-000003
1,CHECK VALIDATION RESULTS,2025/12/09 10:00:05,2025/12/09 10:00:05,Variant 7,sid-CDCECFDC-6D1A-4D0D-AC63-4678A965EE2D,QBP_DEFAULT_RESOURCE,7,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,2025/12/09 10:00:04,1,Session-000004
1,CHECK TEST RESULTS,2025/12/09 10:00:06,2025/12/09 10:00:06,Variant 7,sid-3F3477CA-2154-443D-990D-BA61AA0EEDD2,QBP_DEFAULT_RESOURCE,7,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,2025/12/09 10:00:05,1,Session-000006
1,CONFIGURE INGESTION SYSTEM,2025/12/09 10:00:07,2025/12/09 10:00:07,Variant 7,sid-52FE4380-2098-41C0-BE60-F2DEACC760F5,QBP_DEFAULT_RESOURCE,7,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,2025/12/09 10:00:06,1,Session-000009
1,CONFIGURE PREPARATION SYSTEM,2025/12/09 10:00:08,2025/12/09 10:00:08,Variant 7,sid-C6B14BB8-F42E-43E5-9A7E-0AA34AA52EE6,QBP_DEFAULT_RESOURCE,7,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,2025/12/09 10:00:07,1,Session-000003
1,CONFIGURE SEGREGATION SYSTEM,2025/12/09 10:00:09,2025/12/09 10:00:09,Variant 7,sid-1C9C5582-B583-4832-8DEA-4BDBB1AF9F15,QBP_DEFAULT_RESOURCE,7,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,2025/12/09 10:00:08,1,Session-000007
1,CONFIGURE DEVELOPMENT SYSTEM,2025/12/09 10:00:10,2025/12/09 10:00:10,Variant 7,sid-AB394422-8628-4377-B7B8-A25A46935C63,QBP_DEFAULT_RESOURCE,7,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,2025/12/09 10:00:09,1,Session-000001
1,CONFIGURE CLASSIFICATION SYSTEM,2025/12/09 10:00:11,2025/12/09 10:00:11,Variant 7,sid-50D70578-9920-4164-BA4D-ED2DFBC6DFC4,QBP_DEFAULT_RESOURCE,7,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,2025/12/09 10:00:10,1,Session-000006
1,CONFIGURE EVALUATION SYSTEM,2025/12/09 10:00:12,2025/12/09 10:00:12,Variant 7,sid-8AEFBBF0-A454-4978-9B69-49B3851CF601,QBP_DEFAULT_RESOURCE,7,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,2025/12/09 10:00:11,1,Session-000002
1,CONFIGURE CLIENT-SIDE SYSTEMS,2025/12/09 10:00:13,2025/12/09 10:00:13,Variant 7,sid-2A6D8261-8FF9-4B37-A6BF-D919D2DFB69B,QBP_DEFAULT_RESOURCE,7,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,2025/12/09 10:00:12,1,Session-000009
1,END,2025/12/09 10:00:13,2025/12/09 10:00:13,Variant 7,sid-B3145B77-A916-4A27-82D5-3A1E113A7FC9,QBP_DEFAULT_RESOURCE,7,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,2025/12/09 10:00:13,1,Session-000009
10,START,2025/12/09 10:00:10,2025/12/09 10:00:10,Variant 2,sid-7E063660-AF89-4E86-906B-E703580F1C75,,2,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,2025/12/09 10:00:10,,
10,CHECK DATA BALANCING,2025/12/09 10:00:11,2025/12/09 10:00:11,Variant 2,sid-B48DF955-D774-4256-AEB6-099744469155,QBP_DEFAULT_RESOURCE,2,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,2025/12/09 10:00:10,1,Session-000002
10,CONFIGURE INGESTION SYSTEM,2025/12/09 10:00:12,2025/12/09 10:00:12,Variant 2,sid-52FE4380-2098-41C0-BE60-F2DEACC760F5,QBP_DEFAULT_RESOURCE,2,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,2025/12/09 10:00:11,1,Session-000008
10,CONFIGURE PREPARATION SYSTEM,2025/12/09 10:00:13,2025/12/09 10:00:13,Variant 2,sid-C6B14BB8-F42E-43E5-9A7E-0AA34AA52EE6,QBP_DEFAULT_RESOURCE,2,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,2025/12/09 10:00:12,1,Session-000005
10,CONFIGURE SEGREGATION SYSTEM,2025/12/09 10:00:14,2025/12/09 10:00:14,Variant 2,sid-1C9C5582-B583-4832-8DEA-4BDBB1AF9F15,QBP_DEFAULT_RESOURCE,2,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,2025/12/09 10:00:13,1,Session-000001
10,CONFIGURE DEVELOPMENT SYSTEM,2025/12/09 10:00:15,2025/12/09 10:00:15,Variant 2,sid-AB394422-8628-4377-B7B8-A25A46935C63,QBP_DEFAULT_RESOURCE,2,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,2025/12/09 10:00:14,1,Session-000006
10,CONFIGURE CLASSIFICATION SYSTEM,2025/12/09 10:00:16,2025/12/09 10:00:16,Variant 2,sid-50D70578-9920-4164-BA4D-ED2DFBC6DFC4,QBP_DEFAULT_RESOURCE,2,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,2025/12/09 10:00:15,1,Session-000010
10,CONFIGURE EVALUATION SYSTEM,2025/12/09 10:00:17,2025/12/09 10:00:17,Variant 2,sid-8AEFBBF0-A454-4978-9B69-49B3851CF601,QBP_DEFAULT_RESOURCE,2,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,2025/12/09 10:00:16,1,Session-000002
10,CONFIGURE CLIENT-SIDE SYSTEMS,2025/12/09 10:00:18,2025/12/09 10:00:18,Variant 2,sid-2A6D8261-8FF9-4B37-A6BF-D919D2DFB69B,QBP_DEFAULT_RESOURCE,2,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,2025/12/09 10:00:17,1,Session-000004
10,END,2025/12/09 10:00:18,2025/12/09 10:00:18,Variant 2,sid-B3145B77-A916-4A27-82D5-3A1E113A7FC9,QBP_DEFAULT_RESOURCE,2,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,2025/12/09 10:00:18,1,Session-000004
11,START,2025/12/09 10:00:11,2025/12/09 10:00:11,Variant 5,sid-7E063660-AF89-4E86-906B-E703580F1C75,,5,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,2025/12/09 10:00:11,,
11,EVALUATE CLASSIFIER,2025/12/09 10:00:12,2025/12/09 10:00:12,Variant 5,sid-3F9FCBD8-DDC3-4B0E-83B6-1C5C1C3EAA41,QBP_DEFAULT_RESOURCE,5,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,2025/12/09 10:00:11,1,Session-000007
